round,date,win 1,win 2,win 3
716,2016.8.20,12,35,"1,743"
715,2016.8.13,6,61,"1,873"
714,2016.8.6,7,46,"2,029"
713,2016.7.30,9,50,"1,791"
712,2016.7.23,4,47,"1,727"
711,2016.7.16,7,44,"1,865"
710,2016.7.9,5,57,"1,990"
709,2016.7.2,14,44,"1,696"
708,2016.6.25,4,52,"1,712"
707,2016.6.18,12,74,"2,006"
706,2016.6.11,4,51,"2,108"
705,2016.6.4,4,49,"1,805"
704,2016.5.28,4,47,"1,906"
703,2016.5.21,5,51,"1,719"
702,2016.5.14,11,46,"1,819"
701,2016.5.7,10,40,"1,659"
700,2016.4.30,8,41,"1,562"
699,2016.4.23,8,50,"1,799"
698,2016.4.16,8,48,"2,088"
697,2016.4.9,10,90,"1,940"
696,2016.4.2,10,44,"1,721"
695,2016.3.26,11,66,"1,979"
694,2016.3.19,10,78,"2,286"
693,2016.3.12,10,43,"1,692"
692,2016.3.5,7,44,"1,770"
691,2016.2.27,6,31,"1,708"
690,2016.2.20,15,34,"1,772"
689,2016.2.13,7,44,"1,809"
688,2016.2.6,9,53,"2,107"
687,2016.1.30,6,38,"1,780"
686,2016.1.23,8,36,"1,863"
685,2016.1.16,11,52,"1,910"
684,2016.1.9,9,62,"1,968"
683,2016.1.2,16,45,"2,704"
682,2015.12.26,4,56,"1,851"
681,2015.12.19,6,37,"1,441"
680,2015.12.12,14,44,"1,870"
679,2015.12.5,5,54,"1,829"
678,2015.11.28,6,41,"1,855"
677,2015.11.21,8,37,"1,701"
676,2015.11.14,8,63,"1,665"
675,2015.11.7,4,65,"1,806"
674,2015.10.31,8,48,"1,846"
673,2015.10.24,10,35,"1,864"
672,2015.10.17,9,46,"1,629"
671,2015.10.10,4,48,"1,778"
670,2015.10.3,12,39,"2,145"
669,2015.9.26,6,52,"1,949"
668,2015.9.19,5,56,"1,873"
667,2015.9.12,7,40,"1,543"
666,2015.9.5,6,47,"1,947"
665,2015.8.29,4,30,"1,790"
664,2015.8.22,10,44,"1,530"
663,2015.8.15,7,60,"1,627"
662,2015.8.8,8,43,"1,787"
661,2015.8.1,8,63,"1,830"
660,2015.7.25,10,48,"1,951"
659,2015.7.18,11,40,"1,765"
658,2015.7.11,9,38,"1,678"
